symbol,company_name,price,change,change_percent,volume,market_cap,dividend_yield
A,"A − Agilent Technologies, Inc.",121.38 USD,+0.60%,944.96 K,0.53,34.48 B USD,−4.20%
AA,AA − Alcoa Corporation,31.15 USD,−1.17%,3.04 M,0.45,8.06 B USD,1.28%
AACB,AACB − Artius II Acquisition Inc.,10.10 USD,0.00%,5.31 K,0.04,238.87 M USD,
AACI,AACI − Armada Acquisition Corp. II,10.04 USD,−0.00%,32.13 K,0.18,230.81 M USD,
AACT,AACT − Ares Acquisition Corporation II,11.30 USD,−0.09%,27.87 K,0.08,699.01 M USD,−3.08%
AAL,"AAL − American Airlines Group, Inc.",11.69 USD,+0.52%,30.32 M,0.59,7.71 B USD,+45.17%
AAM,AAM − AA Mission Acquisition Corp.,10.43 USD,+0.05%,24.7 K,0.48,368.69 M USD,
AAME,AAME − Atlantic American Corporation,2.34 USD,−0.85%,31.47 K,0.86,47.73 M USD,−40.34%
AAMI,AAMI − Acadian Asset Management Inc.,37.58 USD,+2.26%,126.39 K,0.44,1.35 B USD,+46.94%
AAOI,"AAOI − Applied Optoelectronics, Inc.",28.66 USD,+7.38%,6.96 M,0.99,1.61 B USD,
AAON,"AAON − AAON, Inc.",75.25 USD,−0.03%,439.96 K,0.37,6.12 B USD,−11.55%
AAP,AAP − Advance Auto Parts Inc.,51.62 USD,+5.33%,1.9 M,0.51,3.09 B USD,1.94%
AAPL,AAPL − Apple Inc.,213.55 USD,+0.52%,34.96 M,0.53,3.19 T USD,−0.36%
AARD,"AARD − Aardvark Therapeutics, Inc.",13.92 USD,+2.96%,10.56 K,0.08,302.01 M USD,
AB,AB − AllianceBernstein Holding L.P.,41.10 USD,−0.34%,157.74 K,0.84,4.55 B USD,8.10%
ABAT,ABAT − American Battery Technology Company,1.83 USD,−2.66%,3.18 M,0.87,169.32 M USD,−21.33%
ABBV,ABBV − AbbVie Inc.,189.28 USD,−0.77%,3.71 M,0.45,334.34 B USD,−30.17%
ABCB,ABCB − Ameris Bancorp,67.74 USD,+1.01%,223.7 K,0.55,4.67 B USD,+31.47%
ABCL,ABCL − AbCellera Biologics Inc.,3.80 USD,+1.33%,1.95 M,0.26,1.13 B USD,−12.26%
ABEO,ABEO − Abeona Therapeutics Inc.,5.89 USD,+0.34%,372.93 K,0.23,301.31 M USD,
ABG,ABG − Asbury Automotive Group Inc,258.66 USD,−0.11%,76.8 K,0.38,5.09 B USD,−23.43%
ABL,"ABL − Abacus Global Management, Inc.",5.39 USD,+1.13%,503.38 K,0.41,527.51 M USD,
ABLV,ABLV − Able View Global Inc.,0.9830 USD,−1.70%,2.33 K,0.31,48.55 M USD,
ABM,ABM − ABM Industries Incorporated,47.93 USD,−0.72%,345.53 K,0.55,2.98 B USD,2.04%
ABNB,"ABNB − Airbnb, Inc.",136.49 USD,+0.81%,2.63 M,0.58,85.5 B USD,−46.76%
